@RELATION activity

@ATTRIBUTE "Absolute Mean (series 0)" numeric
@ATTRIBUTE "Absolute Mean (series 1)" numeric
@ATTRIBUTE "Absolute Mean (series 2)" numeric
@ATTRIBUTE "Absolute Mean (series 3)" numeric
@ATTRIBUTE "Absolute Mean (series 4)" numeric
@ATTRIBUTE "Absolute Mean (series 5)" numeric
@ATTRIBUTE "Maximum (series 0)" numeric
@ATTRIBUTE "Maximum (series 1)" numeric
@ATTRIBUTE "Maximum (series 2)" numeric
@ATTRIBUTE "Maximum (series 3)" numeric
@ATTRIBUTE "Maximum (series 4)" numeric
@ATTRIBUTE "Maximum (series 5)" numeric
@ATTRIBUTE "Mean (series 0)" numeric
@ATTRIBUTE "Mean (series 1)" numeric
@ATTRIBUTE "Mean (series 2)" numeric
@ATTRIBUTE "Mean (series 3)" numeric
@ATTRIBUTE "Mean (series 4)" numeric
@ATTRIBUTE "Mean (series 5)" numeric
@ATTRIBUTE "Median (series 0)" numeric
@ATTRIBUTE "Median (series 1)" numeric
@ATTRIBUTE "Median (series 2)" numeric
@ATTRIBUTE "Median (series 3)" numeric
@ATTRIBUTE "Median (series 4)" numeric
@ATTRIBUTE "Median (series 5)" numeric
@ATTRIBUTE "Minimum (series 0)" numeric
@ATTRIBUTE "Minimum (series 1)" numeric
@ATTRIBUTE "Minimum (series 2)" numeric
@ATTRIBUTE "Minimum (series 3)" numeric
@ATTRIBUTE "Minimum (series 4)" numeric
@ATTRIBUTE "Minimum (series 5)" numeric
@ATTRIBUTE "Range (series 0)" numeric
@ATTRIBUTE "Range (series 1)" numeric
@ATTRIBUTE "Range (series 2)" numeric
@ATTRIBUTE "Range (series 3)" numeric
@ATTRIBUTE "Range (series 4)" numeric
@ATTRIBUTE "Range (series 5)" numeric
@ATTRIBUTE classification {CLASSIFIED/VEHICLE/CAR,CLASSIFIED/IDLE/STANDING,CLASSIFIED/VEHICLE/BUS,CLASSIFIED/WALKING,CLASSIFIED/IDLE/SITTING,CLASSIFIED/WALKING/STAIRS/DOWN,CLASSIFIED/DANCING,CLASSIFIED/WALKING/STAIRS/UP}

@DATA
0.44361898,4.7165775,8.409821,10.608887,10.081055,16.005371,5.5162406,9.479762,11.35937,15.125,1.4E-45,1.4E-45,-0.44361898,4.7165775,8.409821,10.608887,-10.081055,-16.005371,-0.19068487,4.9169455,8.7034025,10.9375,-9.875,-15.6875,-3.8273177,1.4437568,3.4187074,-0.0625,-18.6875,-23.0625,9.343558,8.036005,7.940663,15.1875,18.6875,23.0625,CLASSIFIED/VEHICLE/CAR
3.9024422,2.722155,8.665946,12.640137,3.3691406,15.688477,1.4E-45,4.6036777,15.649779,15.125,1.4E-45,1.4E-45,-3.9024422,2.722155,8.665946,12.640137,-3.3691406,-15.688477,-3.840938,2.7240696,8.499097,12.6875,-3.375,-15.6875,-7.518432,1.0351465,4.69902,8.75,-5.875,-17.625,7.518432,3.5685313,10.95076,6.375,5.875,17.625,CLASSIFIED/VEHICLE/CAR
2.9535933,1.9287692,9.193417,8.516602,3.9960938,16.75,1.4E-45,3.173541,14.669114,11.1875,1.4E-45,1.4E-45,-2.9535933,1.9287692,9.193417,8.516602,-3.9960938,-16.75,-2.901134,2.083913,9.275456,8.5,-3.875,-16.875,-5.0803895,0.50395286,4.6445384,5.5625,-6.625,-18.875,5.0803895,2.669588,10.024576,5.625,6.625,18.875,CLASSIFIED/VEHICLE/CAR
3.7644293,0.39350045,9.493064,4.345215,4.4628906,17.933105,1.4E-45,2.002191,15.704261,10.75,1.4E-45,1.4E-45,-3.7644293,0.39350045,9.493064,4.345215,-4.4628906,-17.933105,-3.5957718,0.50395286,9.493382,4.8125,-4.375,-17.875,-8.567199,-1.3756552,6.006573,-2.0,-7.125,-20.5625,8.567199,3.3778462,9.697687,12.75,7.125,20.5625,CLASSIFIED/VEHICLE/CAR
1.8751402,2.4263377,9.45008,0.78222656,5.080078,16.560059,1.4E-45,3.8954194,9.874752,2.625,1.4E-45,1.4E-45,-1.8751402,2.4263377,9.45008,0.78222656,-5.080078,-16.560059,-1.8387469,2.587866,9.425281,0.9375,-5.125,-16.625,-2.4789033,1.334794,9.220976,-1.3125,-6.625,-17.875,2.4789033,2.5606253,0.65377617,3.9375,6.625,17.875,CLASSIFIED/VEHICLE/CAR
1.7938437,2.6545851,9.423793,0.110839844,4.611328,16.045898,1.4E-45,4.099725,9.697687,1.625,1.4E-45,1.4E-45,-1.7938437,2.6545851,9.423793,0.110839844,-4.611328,-16.045898,-1.8115063,2.7240696,9.41166,0.1875,-4.625,-16.125,-2.5333846,1.4437568,9.248216,-1.0625,-5.625,-17.375,2.5333846,2.655968,0.44947147,2.6875,5.625,17.375,CLASSIFIED/VEHICLE/CAR
0.81934893,2.9772162,9.615647,15.544922,3.5478516,15.527832,1.7978859,4.399372,11.032481,25.6875,13.6875,1.4E-45,-0.81934893,2.9772162,9.615647,15.544922,3.5478516,-15.527832,-0.7354988,3.1599207,9.534244,20.5,5.875,-15.4375,-3.5957718,0.81722087,7.9679036,-0.3125,-7.125,-18.625,5.3936577,3.5821512,3.0645776,26.0,20.8125,18.625,CLASSIFIED/VEHICLE/CAR
2.4930553,2.980516,9.131272,12.811035,5.0825195,15.713867,0.23154591,5.284695,15.649779,15.125,1.4E-45,1.4E-45,-2.4930553,2.980516,9.131272,12.811035,-5.0825195,-15.713867,-2.7240696,2.6151068,9.125633,13.1875,-3.875,-15.6875,-5.366417,1.0351465,4.69902,10.0,-14.1875,-18.125,5.597963,4.249549,10.95076,5.125,14.1875,18.125,CLASSIFIED/VEHICLE/CAR
3.688879,2.6288328,8.795231,10.20459,4.0390625,16.19336,1.4E-45,4.6036777,13.211738,14.375,1.4E-45,1.4E-45,-3.688879,2.6288328,8.795231,10.20459,-4.0390625,-16.19336,-3.4731886,2.5742457,8.785124,10.0,-4.125,-16.375,-7.518432,1.5118586,5.7886477,6.8125,-5.875,-18.375,7.518432,3.0918193,7.42309,7.5625,5.875,18.375,CLASSIFIED/VEHICLE/CAR
3.4958537,1.1407044,9.424003,8.299805,4.1816406,17.19873,1.4E-45,2.901134,15.704261,10.9375,1.4E-45,1.4E-45,-3.4958537,1.1407044,9.424003,8.299805,-4.1816406,-17.19873,-3.3506055,1.1441092,9.438901,8.5,-4.125,-17.125,-8.567199,-0.5720546,4.6445384,4.125,-6.625,-18.875,8.567199,3.4731886,11.059723,6.8125,6.625,18.875,CLASSIFIED/VEHICLE/CAR
2.7418404,1.1129314,9.422087,0.48535156,4.654297,17.434082,1.4E-45,3.8954194,12.054008,5.0625,1.4E-45,1.4E-45,-2.7418404,1.1129314,9.422087,0.48535156,-4.654297,-17.434082,-2.3018389,1.4028958,9.452521,0.1875,-4.625,-17.125,-7.096201,-1.3756552,7.368608,-2.0,-7.125,-20.5625,7.096201,5.2710743,4.6853995,7.0625,7.125,20.5625,CLASSIFIED/VEHICLE/CAR
1.7799023,2.640645,9.431133,0.6743164,4.9570312,16.330566,1.4E-45,4.099725,9.697687,1.875,1.4E-45,1.4E-45,-1.7799023,2.640645,9.431133,0.6743164,-4.9570312,-16.330566,-1.8251266,2.6151068,9.425281,0.6875,-4.875,-16.375,-2.5333846,1.4437568,9.248216,-1.0625,-6.625,-17.875,2.5333846,2.655968,0.44947147,2.9375,6.625,17.875,CLASSIFIED/VEHICLE/CAR
0.9641719,2.8515468,9.556481,3.6137695,4.033203,16.029785,1.7978859,3.9090397,11.032481,20.5,5.125,1.4E-45,-0.9641719,2.8515468,9.556481,3.6137695,-4.033203,-16.029785,-1.4437568,2.73769,9.425281,0.6875,-4.625,-15.875,-2.2201166,1.4437568,8.744264,-1.0625,-7.125,-18.625,4.0180025,2.465283,2.2882175,21.5625,12.25,18.625,CLASSIFIED/VEHICLE/CAR
1.9387717,3.2240858,9.400594,24.04248,10.727539,15.001953,1.7978859,4.399372,10.978001,25.6875,13.6875,1.4E-45,-1.9387717,3.2240858,9.400594,24.04248,10.727539,-15.001953,-2.3426998,3.4731886,9.452521,24.1875,10.875,-14.9375,-3.5957718,0.81722087,7.668256,20.0625,5.875,-16.375,5.3936577,3.5821512,3.3097448,5.625,7.8125,16.375,CLASSIFIED/VEHICLE/CAR
0.27730173,0.0870425,9.391764,267.3252,582.9844,428.73486,2.1111538,1.8659877,12.6669235,1.4E-45,1.4E-45,1.4E-45,-0.27730173,0.0870425,9.391764,-267.3252,-582.9844,-428.73486,-0.313268,0.05448139,9.343558,-267.3125,-583.125,-428.6875,-2.6559677,-1.879608,6.9191365,-268.8125,-584.375,-431.375,4.7671213,3.7455957,5.747787,268.8125,584.375,431.375,CLASSIFIED/VEHICLE/CAR
0.32082304,0.34614828,9.26854,267.16992,582.74805,428.18115,2.4380422,1.607201,12.775887,1.4E-45,1.4E-45,1.4E-45,0.32082304,-0.34614828,9.26854,-267.16992,-582.74805,-428.18115,0.40861043,-0.3405087,9.289077,-267.0625,-582.625,-428.1875,-2.1656353,-2.1111538,6.4832854,-268.8125,-584.125,-429.875,4.6036777,3.7183547,6.292601,268.8125,584.125,429.875,CLASSIFIED/VEHICLE/CAR
0.15737887,0.10811148,9.38623,266.6411,582.77344,427.48828,2.506144,2.1383946,12.271934,1.4E-45,1.4E-45,1.4E-45,0.15737887,-0.10811148,9.38623,-266.6411,-582.77344,-427.48828,0.17706452,-0.095342435,9.39804,-266.625,-582.875,-427.4375,-2.5606253,-2.5333846,6.347082,-268.3125,-584.125,-428.9375,5.0667696,4.671779,5.9248514,268.3125,584.125,428.9375,CLASSIFIED/VEHICLE/CAR
0.46788025,0.20175147,9.462524,266.53662,582.93945,427.5171,1.7434045,2.969236,12.326415,1.4E-45,1.4E-45,1.4E-45,-0.46788025,0.20175147,9.462524,-266.53662,-582.93945,-427.5171,-0.3949901,0.25878662,9.425281,-266.625,-582.875,-427.4375,-2.8330324,-2.1111538,5.8567495,-268.0625,-584.625,-429.875,4.576437,5.08039,6.4696655,268.0625,584.625,429.875,CLASSIFIED/VEHICLE/CAR
0.76422936,0.023942022,9.379418,267.16455,583.63477,428.3164,1.2803127,2.7513103,13.279839,1.4E-45,1.4E-45,1.4E-45,-0.76422936,0.023942022,9.379418,-267.16455,-583.63477,-428.3164,-0.667397,0.013620348,9.438901,-267.3125,-583.875,-428.4375,-3.3778462,-1.56634,6.347082,-268.5625,-585.375,-431.125,4.658159,4.3176503,6.9327564,268.5625,585.375,431.125,CLASSIFIED/VEHICLE/CAR
0.74273473,0.14248161,9.669598,268.60156,585.10547,427.68994,4.072484,2.3018389,13.756551,1.4E-45,1.4E-45,1.4E-45,0.74273473,0.14248161,9.669598,-268.60156,-585.10547,-427.68994,0.7763598,0.12258313,9.534244,-268.5625,-585.125,-427.6875,-2.152015,-1.5390993,6.347082,-270.25,-587.625,-429.875,6.2244987,3.840938,7.4094687,270.25,587.625,429.875,CLASSIFIED/VEHICLE/CAR
0.027240757,0.08853226,9.348347,267.23633,582.834,428.48535,2.2609777,1.8659877,12.4489975,1.4E-45,1.4E-45,1.4E-45,-0.027240757,-0.08853226,9.348347,-267.23633,-582.834,-428.48535,0.013620348,-0.06810174,9.39804,-267.3125,-582.875,-428.4375,-1.8523673,-2.1111538,6.9191365,-268.8125,-583.875,-431.375,4.113345,3.9771414,5.529861,268.8125,583.875,431.375,CLASSIFIED/VEHICLE/CAR
0.22771522,0.2049437,9.292265,266.88672,582.78125,427.687,2.4380422,2.1383946,12.775887,1.4E-45,1.4E-45,1.4E-45,0.22771522,-0.2049437,9.292265,-266.88672,-582.78125,-427.687,0.2860273,-0.20430522,9.329938,-266.875,-582.625,-427.6875,-2.5606253,-1.9885708,6.4832854,-268.3125,-584.125,-429.375,4.9986677,4.1269655,6.292601,268.3125,584.125,429.375,CLASSIFIED/VEHICLE/CAR
0.10917556,0.025431782,9.4700775,266.5078,582.8926,427.5332,2.506144,2.969236,12.326415,1.4E-45,1.4E-45,1.4E-45,-0.10917556,0.025431782,9.4700775,-266.5078,-582.8926,-427.5332,-0.095342435,0.14982383,9.425281,-266.625,-582.875,-427.4375,-2.5606253,-2.5333846,5.8567495,-268.3125,-584.625,-429.875,5.0667696,5.5026207,6.4696655,268.3125,584.625,429.875,CLASSIFIED/VEHICLE/CAR
0.62642944,0.12811637,9.469974,266.80322,583.0625,427.64893,1.3892754,2.7513103,12.340035,1.4E-45,1.4E-45,1.4E-45,-0.62642944,0.12811637,9.469974,-266.80322,-583.0625,-427.64893,-0.55843425,0.20430522,9.493382,-266.875,-583.125,-427.4375,-2.8875136,-2.1111538,6.1291566,-268.5625,-585.125,-431.125,4.276789,4.862464,6.210879,268.5625,585.125,431.125,CLASSIFIED/VEHICLE/CAR
0.0022344692,0.01330111,9.285565,267.93457,584.27734,428.55322,4.072484,1.4437568,13.756551,1.4E-45,1.4E-45,1.4E-45,-0.0022344692,-0.01330111,9.285565,-267.93457,-584.27734,-428.55322,-0.12258313,-0.06810174,9.112013,-268.0625,-584.125,-428.4375,-3.3778462,-1.56634,6.347082,-269.8125,-586.375,-430.375,7.4503303,3.0100968,7.4094687,269.8125,586.375,430.375,CLASSIFIED/VEHICLE/CAR
